program,source,type,size,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
sample_ranges_0_ternaries_3_exacts_5_size_3524,new,ranges,3524,1,0,0,1,0,0,0,0,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_3_exacts_5_size_6426,new,ranges,6426,1,0,1,0,0,0,1,0,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_3_exacts_5_size_7168,new,ranges,7168,0,0,1,1,0,0,0,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_1907,new,ranges,1907,1,1,0,1,0,0,0,1,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_2247,new,ranges,2247,1,0,0,1,0,0,0,1,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_2406,new,ranges,2406,0,1,1,0,0,0,1,0,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_2861,new,ranges,2861,0,0,0,1,0,0,1,1,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_3151,new,ranges,3151,1,0,1,0,0,0,0,0,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_3408,new,ranges,3408,0,0,1,0,0,0,1,0,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_365,new,ranges,365,0,1,1,0,0,0,1,0,3,288,1.04%,3/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_4179,new,ranges,4179,0,1,1,0,0,0,0,1,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_4226,new,ranges,4226,0,0,1,1,0,0,0,0,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_4319,new,ranges,4319,0,0,0,0,0,0,1,1,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_5477,new,ranges,5477,0,0,0,1,0,0,1,1,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_5895,new,ranges,5895,1,0,0,1,0,0,0,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_5904,new,ranges,5904,1,1,0,1,0,0,0,0,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_5966,new,ranges,5966,0,0,1,0,0,0,1,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_5975,new,ranges,5975,1,0,1,0,0,0,0,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_7149,new,ranges,7149,0,1,0,0,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_7156,new,ranges,7156,0,1,1,1,0,0,1,0,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_730,new,ranges,730,0,0,1,1,0,0,1,0,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_4_exacts_4_size_7488,new,ranges,7488,0,0,1,0,0,0,1,1,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_7516,new,ranges,7516,1,1,1,0,0,0,0,0,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_7783,new,ranges,7783,1,0,1,0,0,0,0,1,48,288,16.67%,48/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_4_exacts_4_size_7795,new,ranges,7795,1,0,1,0,0,0,0,0,48,288,16.67%,48/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_5_exacts_3_size_2894,new,ranges,2894,0,1,1,0,0,0,1,1,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_5_exacts_3_size_352,new,ranges,352,0,1,1,1,0,0,0,1,3,288,1.04%,3/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_5_exacts_3_size_4137,new,ranges,4137,1,1,0,0,0,0,0,1,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_5_exacts_3_size_5891,new,ranges,5891,1,0,0,1,0,0,0,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_5_exacts_3_size_6373,new,ranges,6373,1,1,0,0,0,0,0,1,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_5_exacts_3_size_6678,new,ranges,6678,1,1,0,1,0,0,1,0,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_5_exacts_3_size_7784,new,ranges,7784,1,0,1,0,0,0,0,1,48,288,16.67%,48/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_1091,new,ranges,1091,1,1,0,1,0,0,1,0,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_1678,new,ranges,1678,1,1,1,1,0,0,1,1,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_1910,new,ranges,1910,1,0,1,1,0,0,1,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_2715,new,ranges,2715,1,1,1,1,0,0,1,0,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_2875,new,ranges,2875,1,1,0,0,0,0,1,1,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_2899,new,ranges,2899,0,1,1,1,0,0,1,1,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_3529,new,ranges,3529,1,1,0,0,0,0,1,1,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_3537,new,ranges,3537,1,0,1,1,0,0,1,0,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_384,new,ranges,384,1,1,1,1,0,0,1,1,3,288,1.04%,3/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_4036,new,ranges,4036,1,1,1,0,0,0,0,1,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_4204,new,ranges,4204,1,1,1,0,0,0,1,0,27,288,9.38%,27/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_4641,new,ranges,4641,0,1,1,1,0,0,1,1,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_4692,new,ranges,4692,1,1,1,1,0,0,0,1,30,288,10.42%,30/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_5433,new,ranges,5433,1,1,0,1,0,0,1,1,33,288,11.46%,33/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_6101,new,ranges,6101,1,1,1,0,0,0,0,1,36,288,12.50%,36/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_6313,new,ranges,6313,1,0,1,1,0,0,0,1,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_640,new,ranges,640,0,1,1,1,0,0,1,0,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_6_exacts_2_size_6707,new,ranges,6707,1,0,0,1,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_6788,new,ranges,6788,0,1,1,0,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_7028,new,ranges,7028,1,1,0,1,0,0,1,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_7625,new,ranges,7625,0,0,1,1,0,0,1,1,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_6_exacts_2_size_8016,new,ranges,8016,1,0,1,1,0,0,1,1,48,288,16.67%,48/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_7_exacts_1_size_1537,new,ranges,1537,1,1,0,1,0,0,1,1,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_7_exacts_1_size_2255,new,ranges,2255,0,1,1,1,0,0,1,1,15,288,5.21%,15/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_7_exacts_1_size_3255,new,ranges,3255,1,1,1,1,0,0,1,0,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_7_exacts_1_size_3505,new,ranges,3505,1,1,1,1,0,0,1,1,21,288,7.29%,21/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_7_exacts_1_size_6297,new,ranges,6297,1,1,1,0,0,0,1,1,39,288,13.54%,39/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_7_exacts_1_size_694,new,ranges,694,1,1,1,0,0,0,1,1,6,288,2.08%,6/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_8_exacts_0_size_2562,new,ranges,2562,1,1,1,1,0,0,1,1,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_8_exacts_0_size_2917,new,ranges,2917,1,1,1,1,0,0,1,1,18,288,6.25%,18/288,1,960,0.10%,1/960
