total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,memory
0,3,2,2,3,1,3,2,3136,1269.76
3,3,0,3,2,2,1,2,3195,1157.12
3,2,3,0,1,2,2,3,319,378.88
1,3,3,2,0,2,3,2,3209,911.36
2,0,2,3,2,3,1,3,3216,1085.44
3,2,3,1,3,2,0,2,3237,1259.52
2,3,3,0,2,2,3,1,331,296.96
3,2,2,3,2,1,0,3,332,491.52
3,0,2,3,2,2,3,1,3353,1648.64
3,0,1,2,2,2,3,3,3480,1464.32
2,3,2,2,0,3,1,3,3513,1290.24
3,3,3,2,1,2,0,2,3554,1587.2
3,1,2,3,0,2,2,3,3578,1300.48
2,1,0,2,3,2,3,3,3594,1443.84
3,2,1,2,3,0,2,3,3696,1331.2
3,2,2,3,3,2,1,0,3780,1290.24
0,3,2,3,2,3,2,1,3783,1331.2
0,2,3,2,2,3,1,3,3801,1372.16
2,1,2,3,3,0,3,2,385,286.72
3,1,2,2,3,3,0,2,3889,1331.2
3,2,0,1,3,3,2,2,3910,1372.16
3,2,0,3,2,1,3,2,3927,1157.12
3,2,2,1,3,2,3,0,4066,1576.96
0,3,2,2,2,1,3,3,4077,1546.24
1,3,0,2,2,3,2,3,430,849.92
3,3,3,2,2,0,2,1,532,675.84
2,2,3,2,3,3,0,1,565,481.28
2,2,0,3,1,3,2,3,701,604.16
3,2,3,3,0,1,2,2,797,747.52
0,3,2,2,2,3,3,1,986,942.08
2,3,0,2,1,3,3,2,997,880.64
2,2,2,3,2,3,0,1,1059,542.72
3,0,2,1,2,2,3,2,1084,768.0
3,2,3,0,2,2,1,2,1177,634.88
3,2,1,0,2,2,3,2,1308,768.0
3,2,2,2,1,2,3,0,1417,901.12
2,2,3,3,1,0,2,2,14,215.04
2,0,3,3,1,2,2,2,1612,757.76
3,3,1,0,2,2,2,2,1692,860.16
1,3,2,2,2,2,3,0,1764,614.4
3,1,2,3,2,0,2,2,1890,849.92
1,2,2,2,2,0,3,3,189,327.68
0,3,1,3,2,2,2,2,1917,952.32
0,3,1,2,2,3,2,2,2132,788.48
1,3,2,2,2,2,0,3,2194,665.6
3,2,2,2,3,1,0,2,2265,1003.52
3,0,2,1,2,3,2,2,2305,880.64
2,2,0,1,2,2,3,3,2319,1024.0
2,1,3,0,2,2,2,3,2330,1003.52
3,2,2,3,2,1,2,0,2551,1024.0
0,2,1,2,3,3,2,2,2743,1187.84
2,3,3,2,2,1,0,2,2914,1044.48
3,2,2,2,1,2,0,3,2958,1167.36
3,2,3,2,1,0,2,2,2964,1064.96
3,1,2,2,3,0,2,2,3013,1300.48
2,3,0,2,1,2,2,3,302,235.52
2,2,3,2,2,0,1,3,3042,1085.44
3,0,2,2,2,2,1,3,3061,1034.24
2,2,2,3,1,3,2,0,3118,1003.52
